,EntryTime,Yong,Yunseo
296,2020-05-15 11:45,-1388.561186,0
297,2020-05-18 19:30,-18514.2849,0
298,2020-05-21 3:30,92790.15657,0
299,2020-05-27 23:00,63737.66946,0
300,2020-06-01 9:15,-54340.42242,0
301,2020-06-02 11:00,-27761.82942,0
302,2020-06-03 3:15,-29749.87625,0
303,2020-06-05 2:30,-59534.19611,0
304,2020-06-06 12:00,-48703.32559,0
305,2020-06-08 8:45,-32472.23421,0
306,2020-06-09 9:30,-39673.40506,-2048.717832
307,2020-06-11 6:45,-47946.85204,0
308,2020-06-12 4:15,-12108.23309,0
309,2020-06-16 5:00,-14425.0659,0
310,2020-06-18 2:45,1079.746581,0
311,2020-06-22 15:45,55322.03225,0
312,2020-06-24 22:15,45546.70343,0
313,2020-06-30 8:00,-24017.15396,0
314,2020-07-03 3:30,-25712.18608,0
315,2020-07-06 1:30,-46442.32871,0
316,2020-07-06 18:15,53131.95805,0
317,2020-07-10 3:30,-31288.833,0
318,2020-07-13 10:00,-45525.18611,0
319,2020-07-14 21:15,15421.20372,0
320,2020-07-21 23:30,-48303.4028,0
321,2020-07-23 10:45,945293.3992,0
322,2020-08-02 17:00,-10333.31974,0
323,2020-08-04 3:15,-70389.536,0
324,2020-08-04 23:45,-46566.3486,0
325,2020-08-06 1:45,-19061.5602,0
326,2020-08-08 4:45,-58571.99828,0
327,2020-08-10 14:00,-59955.87664,0
328,2020-08-10 21:30,-32333.56465,0
329,2020-08-12 2:45,-21092.14557,0
330,2020-08-14 10:00,-13732.81455,0
331,2020-08-16 22:30,-62365.66861,0
332,2020-08-18 3:15,-57009.46934,0
333,2020-08-19 2:15,44856.65648,0
334,2020-08-24 6:00,-22820.18526,0
335,2020-08-25 18:30,17366.2775,0
336,2020-08-27 23:00,-40304.50437,0
337,2020-08-30 13:45,-26708.55036,0
338,2020-09-01 11:30,-80591.31416,0
339,2020-09-01 19:15,-42660.99158,0
340,2020-09-02 19:00,337281.33,0
341,2020-09-08 10:30,-70260.43877,0
342,2020-09-08 22:15,-65475.92744,0
343,2020-09-10 14:15,3092.542438,0
344,2020-09-14 0:15,-55433.63299,0
345,2020-09-15 2:15,45626.65904,0
346,2020-09-20 13:30,160368.8174,0
347,2020-09-25 4:00,5101.28781,0
348,2020-09-27 19:30,-68801.84789,0
349,2020-09-28 12:30,-57274.39684,0
350,2020-09-29 12:15,-63073.31002,0
351,2020-10-01 19:30,-61728.82116,0
352,2020-10-02 4:15,-4755.74212,0
353,2020-10-07 7:15,-44163.35836,0
354,2020-10-09 2:45,90002.02558,0
355,2020-10-12 6:15,-26287.40961,0
356,2020-10-12 22:15,-82496.864,0
357,2020-10-13 3:15,-35818.8963,0
358,2020-10-13 9:45,-39140.20593,0
359,2020-10-15 4:15,-37161.66863,0
360,2020-10-16 6:30,-47334.00233,0
361,2020-10-16 16:30,-28633.25607,0
362,2020-10-20 2:45,352829.7099,0
363,2020-10-25 15:45,-23816.79911,0
364,2020-10-27 4:00,-55978.54577,0
365,2020-10-27 23:15,-12193.70237,0
366,2020-10-29 0:30,-25343.36568,0
367,2020-10-30 3:45,-2306.475949,0
368,2020-11-02 22:45,-60037.439,0
369,2020-11-04 10:00,174153.3015,0
370,2020-11-08 6:15,-38655.39484,0
371,2020-11-09 4:15,-51111.76335,0
372,2020-11-10 2:30,-39989.92015,0
373,2020-11-11 23:00,47183.4456,0
374,2020-11-14 20:30,-40878.37548,0
375,2020-11-16 18:00,227068.0678,0
376,2020-11-18 15:00,29410.75638,0
377,2020-11-22 22:00,-65036.48099,0
378,2020-11-24 23:15,-37669.89926,0
379,2020-11-26 9:30,105522.4839,0
380,2020-11-29 3:45,146388.0218,0
381,2020-12-01 20:45,-60002.1742,0
382,2020-12-01 23:15,490.5876839,0
383,2020-12-04 22:30,-38011.36411,0
384,2020-12-07 10:30,-48836.95141,0
385,2020-12-08 6:00,86404.20546,0
386,2020-12-12 21:45,886286.1138,0
387,2020-12-21 7:15,-28624.71748,0
388,2020-12-21 22:45,-41923.96182,0
389,2020-12-23 11:00,-73109.92161,0
390,2020-12-24 8:45,-40883.67654,0
391,2020-12-25 23:30,141417.5148,0
392,2020-12-28 6:00,-10918.74174,0
393,2020-12-29 15:45,-60997.35291,0
394,2020-12-30 13:15,144312.6478,0
395,2021-01-03 6:00,28018.42301,0
396,2021-01-04 21:15,-23360.4,0
397,2021-01-05 12:00,-45591.13037,0
398,2021-01-05 16:30,-32886.5413,0
399,2021-01-06 6:45,100536.5667,0
400,2021-01-08 4:00,-30753.39251,0
401,2021-01-08 12:00,25612.13513,0
402,2021-01-10 22:45,64996.78842,0
403,2021-01-14 10:15,-9250.822535,0
404,2021-01-16 3:15,-32664.67949,0
405,2021-01-16 21:45,-46989.5202,0
406,2021-01-17 8:30,-34426.14308,0
407,2021-01-18 23:15,-48725.42278,0
408,2021-01-20 14:45,52710.42257,0
409,2021-01-23 6:45,-52327.12568,0
410,2021-01-23 22:45,-23555.0491,0
411,2021-01-25 12:30,-7826.674386,0
412,2021-01-26 9:15,8620.686266,0
413,2021-01-29 5:45,6408.03857,0
414,2021-02-01 4:30,-57581.96976,0
415,2021-02-01 16:15,100872.0921,0
416,2021-02-05 1:30,53471.57976,0
417,2021-02-07 13:00,-47556.37344,0
418,2021-02-09 1:30,16129.49788,0
419,2021-02-11 2:30,-40386.93418,0
420,2021-02-12 1:00,-16621.41601,0
421,2021-02-15 14:45,-54056.33604,0
422,2021-02-16 15:15,160109.6389,0
423,2021-02-21 8:00,6510.303093,0
424,2021-02-22 11:15,-68630.39366,0
425,2021-02-23 0:15,64824.97747,0
426,2021-03-01 21:30,-6794.933301,0
427,2021-03-03 6:00,-57491.76787,0
428,2021-03-03 20:45,-49973.80456,0
429,2021-03-04 16:00,-3058.764424,0
430,2021-03-07 13:15,136375.6341,0
431,2021-03-10 13:00,134908.7172,0
432,2021-03-15 9:30,-52999.33701,0
433,2021-03-15 20:45,-14806.73641,0
434,2021-03-18 8:00,-32860.19715,0
435,2021-03-19 11:00,23672.50254,0
436,2021-03-24 20:30,-58566.15544,0
437,2021-03-25 9:30,-31912.915,0
438,2021-03-27 10:30,101502.7788,0
439,2021-03-31 17:00,4525.410998,-10104.49528
440,2021-04-04 5:00,-4416.775607,0
441,2021-04-06 2:15,-54115.62582,0
442,2021-04-07 1:45,-6378.594124,0
443,2021-04-09 11:00,38827.01713,0
444,2021-04-11 6:45,108439.4023,0
445,2021-04-15 5:45,138959.404,0
446,2021-04-18 15:15,63004.66076,0
447,2021-04-26 14:00,32018.51017,0
448,2021-04-29 16:45,-23185.55601,0
449,2021-05-01 2:30,-3561.227138,0
450,2021-05-02 14:00,917.420771,0
451,2021-05-04 7:45,17433.65894,0
452,2021-05-06 2:45,-45906.61252,0
453,2021-05-07 6:15,-56049.75206,0
454,2021-05-08 3:30,-31333.64279,0
455,2021-05-09 23:30,-17907.74826,0
456,2021-05-12 14:15,-79583.93266,0
457,2021-05-13 5:15,343046.3539,0
458,2021-05-24 23:00,2724.460136,0
459,2021-05-27 14:00,-55151.04974,0
460,2021-05-27 21:45,-57483.95556,0
461,2021-05-28 17:00,13266.44014,0
462,2021-05-31 21:45,-29874.50699,0
463,2021-06-02 0:15,-53037.86846,0
464,2021-06-03 2:00,-8702.647279,0
465,2021-06-04 17:15,-4217.970803,0
466,2021-06-07 13:00,-60366.72994,0
467,2021-06-08 10:15,-9118.722491,0
468,2021-06-09 18:30,42274.04773,0
469,2021-06-12 15:15,-43399.88319,0
470,2021-06-14 7:30,16484.50988,0
471,2021-06-16 23:00,142834.162,0
472,2021-06-21 7:00,79832.26831,0
473,2021-06-23 12:45,-32840.51148,0
474,2021-06-24 14:15,-59156.11699,0
475,2021-06-24 23:45,-26742.44041,0
476,2021-06-25 23:15,12373.14724,0
477,2021-06-27 13:15,54780.58431,0
478,2021-06-30 15:15,-72044.80297,0
479,2021-07-01 19:45,-52742.44133,0
480,2021-07-03 20:15,23279.88475,0
481,2021-07-05 9:15,-82915.75459,304.303924
482,2021-07-05 23:15,-50311.67096,0
483,2021-07-06 17:15,-68953.20556,0
484,2021-07-07 3:15,5381.948019,0
485,2021-07-10 10:30,-49090.8951,0
486,2021-07-11 6:45,-72009.69914,0
487,2021-07-12 9:00,-57900.95672,0
488,2021-07-12 23:15,38780.32059,0
489,2021-07-15 1:00,-50455.72579,0
490,2021-07-15 23:00,-22069.83851,0
491,2021-07-17 2:30,-17684.95053,0
492,2021-07-18 13:15,-75003.6923,0
493,2021-07-19 2:00,76450.06498,0
494,2021-07-21 17:00,550067.1057,0
495,2021-07-26 13:15,-22740.39727,0
496,2021-07-27 6:00,21081.93075,0
497,2021-07-30 20:30,-68540.8168,0
498,2021-07-31 10:15,-32419.70196,0
499,2021-08-02 4:30,82736.45777,0
500,2021-08-05 2:15,-43433.16459,0
501,2021-08-05 21:15,-69019.66698,0
502,2021-08-06 5:30,53294.87396,0
503,2021-08-09 12:00,-59921.47767,0
504,2021-08-09 22:30,-26110.21254,0
505,2021-08-12 17:00,-17847.17395,0
506,2021-08-13 19:15,18447.79619,0
507,2021-08-14 19:00,-55667.03639,0
508,2021-08-15 18:45,-53687.21368,0
509,2021-08-16 11:30,-62960.90227,0
510,2021-08-17 2:00,21256.78256,0
511,2021-08-20 2:45,105172.2174,0
512,2021-08-23 1:30,13408.0223,0
513,2021-08-24 12:15,7568.680033,0
514,2021-08-26 4:30,-60431.31838,0
515,2021-08-26 17:30,-56486.25268,0
516,2021-08-28 4:30,-5988.623873,0
517,2021-08-29 15:30,3894.47773,0
518,2021-09-02 4:45,18006.02028,0
519,2021-09-03 16:15,111488.066,0
520,2021-09-07 20:45,267551.833,0
521,2021-09-08 3:15,2288.638967,0
522,2021-09-13 10:15,-35583.22389,0
523,2021-09-13 23:15,-49008.96,389.46
524,2021-09-14 23:30,30935.15455,0
525,2021-09-17 6:30,-35589.08698,0
526,2021-09-18 7:00,-66034.34479,0
527,2021-09-18 16:45,-59679.01935,0
528,2021-09-19 23:45,217722.7289,0
529,2021-09-23 4:15,-5539.375873,0
530,2021-09-24 22:45,-28330.98161,0
531,2021-09-26 22:45,-18990.13991,0
532,2021-09-28 6:45,12354.33295,0
533,2021-09-30 14:30,169389.6312,0
534,2021-10-04 12:30,326703.1167,0
535,2021-10-07 1:45,22717.01388,0
536,2021-10-13 4:30,-44844.95699,0
537,2021-10-14 4:30,95107.17945,0
538,2021-10-18 12:00,-51656.46607,0
539,2021-10-18 22:30,64517.7072,0
540,2021-10-21 11:15,-42443.58249,0
541,2021-10-22 3:30,17826.11512,0
542,2021-10-25 13:30,-11292.0277,0
543,2021-10-27 10:00,-4656.977519,0
544,2021-10-28 21:00,-60429.31856,0
545,2021-10-29 5:00,-15823.01924,0
546,2021-10-31 19:45,-58181.23553,0
547,2021-11-02 21:45,-55818.72435,0
548,2021-11-04 1:30,10766.04808,0
549,2021-11-07 12:30,243617.6307,0
550,2021-11-10 2:15,-10956.40834,-12694.13482
551,2021-11-11 9:30,-6409.346582,0
552,2021-11-14 11:45,-10715.5093,0
553,2021-11-16 4:30,194953.5246,0
554,2021-11-20 12:45,-21657.48774,0
555,2021-11-22 14:45,-67828.31399,0
556,2021-11-22 23:30,-2084.240193,0
557,2021-11-26 0:30,-51100.67955,0
558,2021-11-26 21:45,-27448.66469,0
559,2021-11-29 11:15,-29678.76987,0
560,2021-11-30 17:00,-82006.17473,0
561,2021-12-01 1:00,-21254.13008,0
562,2021-12-02 14:15,408006.1375,0
563,2021-12-04 17:15,-23911.8306,0
564,2021-12-07 10:30,-29984.54699,0
565,2021-12-08 23:00,-32074.38865,0
566,2021-12-11 4:00,-55325.82402,0
567,2021-12-13 1:00,-51320.15403,0
568,2021-12-13 13:15,6192.830096,0
569,2021-12-15 9:45,-41920.93628,0
570,2021-12-16 2:30,-82113.1184,0
571,2021-12-16 7:45,-25515.65255,0
572,2021-12-17 5:30,13950.3334,0
573,2021-12-19 15:15,-74973.53177,0
574,2021-12-20 20:30,-56421.23672,0
575,2021-12-21 7:45,49705.27683,0
576,2021-12-23 11:15,71539.78579,0
577,2021-12-26 14:30,-54841.50261,0
578,2021-12-27 9:45,-9450.577037,0
579,2021-12-28 13:15,56193.64878,0
580,2021-12-31 20:30,-58485.10683,0
581,2022-01-01 6:45,-47868.99593,0
582,2022-01-05 1:15,-49462.43715,0
583,2022-01-06 8:45,24874.44242,0
584,2022-01-10 6:45,-70097.15172,0
585,2022-01-11 0:45,-57703.94567,0
586,2022-01-12 5:45,6753.707829,0
587,2022-01-14 1:30,-33228.70575,0
588,2022-01-17 15:30,18271.88069,0
589,2022-01-20 2:15,-24727.34267,0
590,2022-01-21 14:30,81522.4277,0
591,2022-01-25 7:30,-890.3609523,0
592,2022-01-27 8:45,-24099.58852,0
593,2022-01-29 8:30,-23493.84233,0
594,2022-01-31 12:45,-54063.72049,0
595,2022-02-01 5:00,-32398.40012,0
596,2022-02-03 3:15,-5394.981454,0
597,2022-02-04 17:45,376534.866,0
598,2022-02-08 21:30,9791.305374,-27385.23124
599,2022-02-11 0:00,-61519.96173,0
600,2022-02-12 7:15,-18249.37765,0
601,2022-02-15 14:00,-3854.727557,0
602,2022-02-17 0:45,-40820.82561,0
603,2022-02-17 21:15,247117.987,0
604,2022-02-21 10:15,-8822.177843,-17511.61304
605,2022-02-22 0:30,-6581.96643,0
606,2022-02-23 21:00,-58175.68462,0
607,2022-02-24 6:30,21419.02595,0
608,2022-02-25 7:45,8229.170062,0
609,2022-02-27 12:30,-61419.1372,0
610,2022-02-27 22:45,-73154.36275,0
611,2022-02-28 8:00,-58745.50406,0
612,2022-03-01 4:00,40028.71127,0
613,2022-03-04 4:30,122428.6606,0
614,2022-03-08 6:45,-61168.78118,0
615,2022-03-09 15:45,-39373.08208,0
616,2022-03-10 12:15,-76918.39077,0
617,2022-03-10 16:30,-30510.18933,0
618,2022-03-11 22:15,16419.26112,0
619,2022-03-14 19:30,5234.667777,0
620,2022-03-16 12:45,50863.15707,0
621,2022-03-20 21:45,-83570.58425,0
622,2022-03-21 14:30,-75644.27426,0
623,2022-03-22 15:30,163952.2891,0
624,2022-03-28 10:00,714.3324718,0
625,2022-03-30 7:45,-39739.28706,0
626,2022-04-01 4:00,-6225.907747,0
627,2022-04-02 2:00,-46138.38578,0
628,2022-04-04 8:30,-15307.56956,0
629,2022-04-06 2:15,157916.4109,0
630,2022-04-11 6:00,-75130.54509,0
631,2022-04-11 10:45,72025.64776,0
632,2022-04-14 2:45,-17490.37824,0
633,2022-04-15 3:15,-49201.04926,0
634,2022-04-16 1:15,21006.38259,0
635,2022-04-19 6:15,12987.75689,0
636,2022-04-21 0:30,16382.44311,0
637,2022-04-22 9:00,40998.94569,0
638,2022-04-26 6:45,-24408.0474,0
639,2022-04-27 4:00,-50585.38206,0
640,2022-04-28 11:15,-31490.6069,0
641,2022-04-29 21:45,30481.41001,0
